fold,epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
3,1,0.680890,0.620976,0.576923,0.400000,0.818182,0.690909,0.00010000
3,2,0.768886,0.577665,0.730769,1.000000,0.363636,0.769697,0.00009999
3,3,0.736780,0.991781,0.576923,1.000000,0.000000,0.363636,0.00009996
3,4,0.724097,0.848033,0.576923,1.000000,0.000000,0.321212,0.00009990
3,5,0.737008,0.614638,0.653846,1.000000,0.181818,0.739394,0.00009983
3,6,0.698387,0.622845,0.653846,1.000000,0.181818,0.678788,0.00009973
3,7,0.687370,0.600427,0.653846,1.000000,0.181818,0.630303,0.00009961
3,8,0.757078,0.605422,0.653846,1.000000,0.181818,0.696970,0.00009947
3,9,0.670221,0.613745,0.653846,1.000000,0.181818,0.703030,0.00009931
3,10,0.684160,0.586039,0.730769,1.000000,0.363636,0.684848,0.00009912
3,11,0.776842,0.613354,0.653846,1.000000,0.181818,0.684848,0.00009892
3,12,0.729355,0.785454,0.576923,1.000000,0.000000,0.648485,0.00009869
3,13,0.722696,0.748330,0.576923,1.000000,0.000000,0.363636,0.00009844
3,14,0.754407,0.715115,0.576923,1.000000,0.000000,0.715152,0.00009818
3,15,0.704782,0.609398,0.730769,1.000000,0.363636,0.769697,0.00009789
3,16,0.709581,0.700716,0.653846,1.000000,0.181818,0.757576,0.00009758
3,17,0.727095,0.566688,0.730769,1.000000,0.363636,0.787879,0.00009725
3,18,0.697241,0.577557,0.730769,1.000000,0.363636,0.800000,0.00009690
3,19,0.766792,0.788145,0.653846,1.000000,0.181818,0.769697,0.00009652
3,20,0.732157,0.996382,0.576923,1.000000,0.000000,0.369697,0.00009613
3,21,0.730768,0.804976,0.576923,1.000000,0.000000,0.406061,0.00009572
3,22,0.723229,0.575788,0.692308,1.000000,0.272727,0.836364,0.00009529
3,23,0.699084,1.034126,0.576923,1.000000,0.000000,0.375758,0.00009484
3,24,0.668524,0.623110,0.653846,1.000000,0.181818,0.818182,0.00009437
3,25,0.735224,0.559482,0.730769,1.000000,0.363636,0.860606,0.00009388
3,26,0.733401,0.658355,0.653846,1.000000,0.181818,0.866667,0.00009337
3,27,0.674462,0.652565,0.653846,1.000000,0.181818,0.648485,0.00009284
3,28,0.697243,0.660848,0.653846,1.000000,0.181818,0.600000,0.00009229
3,29,0.747378,0.609128,0.653846,1.000000,0.181818,0.787879,0.00009173
3,30,0.685575,0.572874,0.730769,1.000000,0.363636,0.751515,0.00009115
3,31,0.671324,0.610652,0.692308,1.000000,0.272727,0.763636,0.00009055
3,32,0.721501,0.646299,0.730769,1.000000,0.363636,0.775758,0.00008993
3,33,0.740635,0.661335,0.653846,1.000000,0.181818,0.781818,0.00008929
3,34,0.743543,0.691284,0.653846,1.000000,0.181818,0.775758,0.00008864
3,35,0.696738,0.748764,0.576923,1.000000,0.000000,0.448485,0.00008797
3,36,0.733962,0.648645,0.653846,1.000000,0.181818,0.751515,0.00008729
3,37,0.691126,0.702476,0.653846,1.000000,0.181818,0.509091,0.00008658
3,38,0.694347,0.635097,0.653846,1.000000,0.181818,0.418182,0.00008587
3,39,0.714954,0.619129,0.653846,1.000000,0.181818,0.642424,0.00008513
3,40,0.706934,0.613040,0.653846,1.000000,0.181818,0.612121,0.00008439
3,41,0.743366,0.726104,0.653846,1.000000,0.181818,0.793939,0.00008362
3,42,0.688950,0.613986,0.653846,1.000000,0.181818,0.666667,0.00008284
3,43,0.721077,0.578064,0.730769,1.000000,0.363636,0.751515,0.00008205
3,44,0.765238,0.645317,0.653846,1.000000,0.181818,0.824242,0.00008125
3,45,0.736293,0.683387,0.653846,1.000000,0.181818,0.739394,0.00008043
3,46,0.746711,0.690367,0.653846,1.000000,0.181818,0.503030,0.00007960
3,47,0.709830,0.600295,0.653846,1.000000,0.181818,0.751515,0.00007875
3,48,0.687135,0.629373,0.653846,1.000000,0.181818,0.490909,0.00007789
3,49,0.743435,0.606922,0.653846,1.000000,0.181818,0.745455,0.00007702
3,50,0.729451,0.573248,0.730769,1.000000,0.363636,0.793939,0.00007614
3,51,0.712965,0.604566,0.692308,1.000000,0.272727,0.793939,0.00007525
3,52,0.693416,0.604945,0.653846,1.000000,0.181818,0.757576,0.00007435
3,53,0.655316,0.573433,0.730769,1.000000,0.363636,0.751515,0.00007343
3,54,0.738021,0.578946,0.730769,1.000000,0.363636,0.787879,0.00007251
3,55,0.739090,0.617017,0.692308,1.000000,0.272727,0.739394,0.00007158
3,56,0.704784,0.581512,0.730769,1.000000,0.363636,0.739394,0.00007063
3,57,0.705428,0.567986,0.730769,1.000000,0.363636,0.709091,0.00006968
3,58,0.686485,0.627052,0.730769,1.000000,0.363636,0.775758,0.00006872
3,59,0.699251,0.623765,0.653846,1.000000,0.181818,0.763636,0.00006775
3,60,0.771120,0.622108,0.692308,1.000000,0.272727,0.721212,0.00006678
3,61,0.701012,0.678296,0.653846,1.000000,0.181818,0.739394,0.00006580
