fold,best_epoch,best_val_auc,accuracy,sensitivity,specificity,auc,youden_threshold,youden_sensitivity,youden_specificity,tn,fp,fn,tp,checkpoint
1,47,0.8333333333333334,0.6296296296296297,1.0,0.16666666666666666,0.8333333333333334,0.8625325560569763,0.7333333333333333,0.8333333333333334,2,10,0,15,checkpoints\best_mci_fold1.pth
2,17,0.6538461538461539,0.5925925925925926,1.0,0.15384615384615385,0.6538461538461539,0.7511717677116394,0.8571428571428571,0.46153846153846156,2,11,0,14,checkpoints\best_mci_fold2.pth
3,11,0.9515151515151515,0.6538461538461539,1.0,0.18181818181818182,0.9515151515151515,0.7599554657936096,0.8,1.0,2,9,0,15,checkpoints\best_mci_fold3.pth
4,11,0.8246753246753247,0.56,1.0,0.0,0.8246753246753247,0.681993305683136,0.9285714285714286,0.8181818181818182,0,11,0,14,checkpoints\best_mci_fold4.pth
5,28,0.5535714285714285,0.6153846153846154,1.0,0.16666666666666666,0.5535714285714285,0.9634934067726135,0.42857142857142855,0.8333333333333334,2,10,0,14,checkpoints\best_mci_fold5.pth
