fold,epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
4,1,0.219934,0.196470,0.750000,0.000000,1.000000,0.496667,0.00029988
4,2,0.194974,0.204903,0.750000,0.000000,1.000000,0.645625,0.00029954
4,3,0.200646,0.322610,0.750000,0.000000,1.000000,0.638542,0.00029896
4,4,0.198293,0.249706,0.725000,0.450000,0.816667,0.682292,0.00029816
4,5,0.216641,0.187117,0.750000,0.000000,1.000000,0.659583,0.00029713
4,6,0.203260,0.210169,0.762500,0.400000,0.883333,0.682500,0.00029587
4,7,0.208073,0.210009,0.750000,0.000000,1.000000,0.659375,0.00029439
4,8,0.201800,0.164290,0.750000,0.000000,1.000000,0.692083,0.00029268
4,9,0.198181,0.170899,0.750000,0.000000,1.000000,0.681458,0.00029076
4,10,0.179091,0.255939,0.750000,0.400000,0.866667,0.653958,0.00028862
4,11,0.179029,0.292510,0.750000,0.000000,1.000000,0.642292,0.00028627
4,12,0.191214,0.175538,0.762500,0.400000,0.883333,0.686875,0.00028371
4,13,0.177806,0.196738,0.737500,0.400000,0.850000,0.673958,0.00028094
4,14,0.188428,0.188493,0.712500,0.400000,0.816667,0.691667,0.00027797
4,15,0.172034,0.164938,0.750000,0.000000,1.000000,0.691458,0.00027480
4,16,0.190832,0.182406,0.725000,0.400000,0.833333,0.696250,0.00027145
4,17,0.189098,0.188818,0.725000,0.400000,0.833333,0.713542,0.00026790
4,18,0.186943,0.175614,0.712500,0.450000,0.800000,0.690000,0.00026418
4,19,0.173665,0.185292,0.750000,0.400000,0.866667,0.698958,0.00026028
4,20,0.201259,0.217203,0.750000,0.400000,0.866667,0.680417,0.00025621
4,21,0.173255,0.180439,0.737500,0.400000,0.850000,0.682917,0.00025198
4,22,0.174168,0.195984,0.750000,0.400000,0.866667,0.692292,0.00024759
4,23,0.179153,0.212946,0.750000,0.400000,0.866667,0.690208,0.00024305
4,24,0.176824,0.191377,0.737500,0.400000,0.850000,0.680833,0.00023837
4,25,0.174393,0.163577,0.750000,0.000000,1.000000,0.677292,0.00023356
4,26,0.180648,0.193641,0.750000,0.000000,1.000000,0.684583,0.00022861
4,27,0.183550,0.181025,0.750000,0.000000,1.000000,0.680417,0.00022355
4,28,0.170335,0.175677,0.737500,0.400000,0.850000,0.686875,0.00021837
4,29,0.164492,0.240789,0.750000,0.400000,0.866667,0.692292,0.00021309
4,30,0.176435,0.163673,0.750000,0.000000,1.000000,0.678958,0.00020771
4,31,0.165952,0.193821,0.737500,0.400000,0.850000,0.685625,0.00020224
4,32,0.166723,0.181157,0.750000,0.000000,1.000000,0.688125,0.00019670
4,33,0.162113,0.203202,0.750000,0.400000,0.866667,0.679167,0.00019108
4,34,0.165763,0.172968,0.750000,0.400000,0.866667,0.689792,0.00018540
4,35,0.173341,0.222307,0.737500,0.400000,0.850000,0.686250,0.00017967
4,36,0.159694,0.204941,0.750000,0.400000,0.866667,0.680208,0.00017389
4,37,0.161589,0.223486,0.750000,0.400000,0.866667,0.687292,0.00016807
4,38,0.180004,0.193289,0.750000,0.400000,0.866667,0.681458,0.00016223
4,39,0.163658,0.178445,0.737500,0.400000,0.850000,0.677083,0.00015637
4,40,0.176769,0.233411,0.750000,0.000000,1.000000,0.665417,0.00015050
4,41,0.168274,0.170795,0.750000,0.400000,0.866667,0.688958,0.00014463
4,42,0.160110,0.188262,0.750000,0.400000,0.866667,0.685833,0.00013877
