fold,best_epoch,best_val_auc,accuracy,sensitivity,specificity,auc,tn,fp,fn,tp,checkpoint
1,1,0.7611111111111111,0.4444444444444444,0.0,1.0,0.7611111111111111,12,0,15,0,checkpoints\best_mci_fold1.pth
2,40,0.7087912087912087,0.5925925925925926,0.8571428571428571,0.3076923076923077,0.7087912087912087,4,9,2,12,checkpoints\best_mci_fold2.pth
3,26,0.8666666666666667,0.6538461538461539,1.0,0.18181818181818182,0.8666666666666667,2,9,0,15,checkpoints\best_mci_fold3.pth
4,58,0.7402597402597403,0.56,1.0,0.0,0.7402597402597403,0,11,0,14,checkpoints\best_mci_fold4.pth
5,3,0.6428571428571429,0.5384615384615384,1.0,0.0,0.6428571428571429,0,12,0,14,checkpoints\best_mci_fold5.pth
