fold,epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
4,1,0.898557,0.684819,0.640000,0.642857,0.636364,0.616883,0.00010000
4,2,0.695877,0.707591,0.520000,0.857143,0.090909,0.610390,0.00009999
4,3,0.653754,0.667577,0.560000,0.857143,0.181818,0.649351,0.00009996
4,4,0.678131,0.765245,0.560000,1.000000,0.000000,0.746753,0.00009990
4,5,0.656878,0.657921,0.680000,0.714286,0.636364,0.668831,0.00009983
4,6,0.646711,0.793546,0.560000,1.000000,0.000000,0.688312,0.00009973
4,7,0.673810,0.649391,0.520000,0.857143,0.090909,0.688312,0.00009961
4,8,0.628052,0.672584,0.560000,1.000000,0.000000,0.714286,0.00009947
4,9,0.616144,0.666473,0.560000,1.000000,0.000000,0.727273,0.00009931
4,10,0.621467,0.640211,0.520000,0.857143,0.090909,0.740260,0.00009912
4,11,0.600323,0.693946,0.560000,1.000000,0.000000,0.824675,0.00009892
4,12,0.582759,0.739723,0.520000,0.928571,0.000000,0.733766,0.00009869
4,13,0.547306,0.869295,0.520000,0.928571,0.000000,0.733766,0.00009844
4,14,0.643486,0.685867,0.520000,0.857143,0.090909,0.733766,0.00009818
4,15,0.571461,0.969743,0.560000,1.000000,0.000000,0.733766,0.00009789
4,16,0.605250,0.973128,0.560000,1.000000,0.000000,0.727273,0.00009758
4,17,0.568493,0.827101,0.560000,1.000000,0.000000,0.733766,0.00009725
4,18,0.605384,0.847929,0.560000,1.000000,0.000000,0.733766,0.00009690
4,19,0.617987,0.805368,0.560000,0.928571,0.090909,0.733766,0.00009652
4,20,0.551127,1.011179,0.520000,0.928571,0.000000,0.733766,0.00009613
4,21,0.604287,0.962571,0.560000,1.000000,0.000000,0.733766,0.00009572
4,22,0.633427,0.882015,0.560000,1.000000,0.000000,0.733766,0.00009529
4,23,0.608149,0.840106,0.520000,0.928571,0.000000,0.733766,0.00009484
4,24,0.633642,1.068248,0.560000,1.000000,0.000000,0.733766,0.00009437
4,25,0.571058,1.138634,0.520000,0.928571,0.000000,0.733766,0.00009388
4,26,0.645983,1.113837,0.520000,0.928571,0.000000,0.733766,0.00009337
4,27,0.627671,1.126436,0.560000,1.000000,0.000000,0.733766,0.00009284
4,28,0.569176,1.193268,0.560000,1.000000,0.000000,0.727273,0.00009229
4,29,0.694217,1.004300,0.520000,0.928571,0.000000,0.740260,0.00009173
4,30,0.638658,1.090673,0.560000,0.928571,0.090909,0.740260,0.00009115
4,31,0.672753,1.156185,0.560000,1.000000,0.000000,0.733766,0.00009055
4,32,0.565381,1.105159,0.560000,1.000000,0.000000,0.740260,0.00008993
4,33,0.632970,1.274693,0.560000,1.000000,0.000000,0.740260,0.00008929
4,34,0.587951,1.056403,0.560000,1.000000,0.000000,0.753247,0.00008864
4,35,0.533810,0.950733,0.520000,0.928571,0.000000,0.753247,0.00008797
4,36,0.587063,0.934377,0.560000,1.000000,0.000000,0.753247,0.00008729
4,37,0.585931,1.025778,0.560000,1.000000,0.000000,0.753247,0.00008658
4,38,0.545389,0.868542,0.560000,1.000000,0.000000,0.753247,0.00008587
4,39,0.608482,0.783932,0.560000,1.000000,0.000000,0.753247,0.00008513
4,40,0.606709,0.657650,0.480000,0.857143,0.000000,0.753247,0.00008439
4,41,0.514296,0.717986,0.520000,0.928571,0.000000,0.753247,0.00008362
4,42,0.560036,0.781068,0.520000,0.928571,0.000000,0.753247,0.00008284
4,43,0.538343,0.765983,0.520000,0.928571,0.000000,0.753247,0.00008205
4,44,0.617097,0.708825,0.480000,0.857143,0.000000,0.753247,0.00008125
4,45,0.559960,0.777799,0.520000,0.928571,0.000000,0.753247,0.00008043
4,46,0.586750,0.801929,0.520000,0.928571,0.000000,0.753247,0.00007960
