fold,best_epoch,best_val_loss,accuracy,sensitivity,specificity,auc,tn,fp,fn,tp,checkpoint
1,8,0.6454872973957417,0.7391304347826086,0.5853658536585366,0.7916666666666666,0.7335365853658538,95,25,17,24,checkpoints\best_light_fold1.pth
2,4,0.5850165739655495,0.80625,0.7,0.8416666666666667,0.8360416666666668,101,19,12,28,checkpoints\best_light_fold2.pth
3,4,0.7044755883514882,0.64375,0.45,0.7083333333333334,0.634375,85,35,22,18,checkpoints\best_light_fold3.pth
4,11,0.6738734371960163,0.725,0.45,0.8166666666666667,0.7114583333333334,98,22,22,18,checkpoints\best_light_fold4.pth
5,5,0.6781245201826096,0.675,0.4878048780487805,0.7394957983193278,0.6908177905308465,88,31,21,20,checkpoints\best_light_fold5.pth
