fold,epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
2,1,0.238741,0.124166,0.750000,0.000000,1.000000,0.775000,0.00029988
2,2,0.226662,0.113216,0.812500,0.700000,0.850000,0.833125,0.00029954
2,3,0.209839,0.143377,0.750000,0.000000,1.000000,0.740208,0.00029896
2,4,0.185323,0.140517,0.750000,0.000000,1.000000,0.742292,0.00029816
2,5,0.199299,0.137631,0.750000,0.000000,1.000000,0.817500,0.00029713
2,6,0.181466,0.136416,0.750000,0.000000,1.000000,0.839167,0.00029587
2,7,0.194049,0.126532,0.750000,0.000000,1.000000,0.805625,0.00029439
2,8,0.185794,0.146486,0.750000,0.000000,1.000000,0.798958,0.00029268
2,9,0.174684,0.131475,0.750000,0.000000,1.000000,0.726250,0.00029076
2,10,0.163754,0.160596,0.750000,0.000000,1.000000,0.713125,0.00028862
2,11,0.177179,0.138534,0.862500,0.700000,0.916667,0.835625,0.00028627
2,12,0.174344,0.132593,0.750000,0.000000,1.000000,0.826042,0.00028371
2,13,0.182147,0.126522,0.750000,0.000000,1.000000,0.812708,0.00028094
2,14,0.167377,0.144832,0.750000,0.000000,1.000000,0.806667,0.00027797
2,15,0.177802,0.142745,0.750000,0.000000,1.000000,0.796875,0.00027480
2,16,0.163174,0.139710,0.750000,0.000000,1.000000,0.815000,0.00027145
2,17,0.155352,0.143364,0.750000,0.000000,1.000000,0.833333,0.00026790
2,18,0.181001,0.135748,0.750000,0.000000,1.000000,0.816875,0.00026418
2,19,0.164497,0.138803,0.750000,0.000000,1.000000,0.809167,0.00026028
2,20,0.171924,0.144890,0.750000,0.000000,1.000000,0.808125,0.00025621
2,21,0.169717,0.151835,0.750000,0.000000,1.000000,0.809167,0.00025198
2,22,0.162150,0.146600,0.750000,0.000000,1.000000,0.812083,0.00024759
2,23,0.172816,0.148873,0.750000,0.000000,1.000000,0.812292,0.00024305
2,24,0.178351,0.160993,0.837500,0.700000,0.883333,0.820000,0.00023837
2,25,0.167875,0.137545,0.750000,0.000000,1.000000,0.812083,0.00023356
2,26,0.172695,0.145956,0.750000,0.000000,1.000000,0.824375,0.00022861
2,27,0.169379,0.125601,0.837500,0.700000,0.883333,0.817292,0.00022355
2,28,0.173222,0.130088,0.750000,0.000000,1.000000,0.835833,0.00021837
2,29,0.170559,0.138916,0.837500,0.700000,0.883333,0.817083,0.00021309
2,30,0.169923,0.136097,0.775000,0.100000,1.000000,0.821250,0.00020771
2,31,0.178583,0.126102,0.762500,0.050000,1.000000,0.819583,0.00020224
