fold,epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
2,1,0.702633,0.791629,0.518519,1.000000,0.000000,0.434066,0.00010000
2,2,0.663668,0.833966,0.518519,1.000000,0.000000,0.285714,0.00009999
2,3,0.687093,0.708638,0.592593,0.857143,0.307692,0.483516,0.00009996
2,4,0.673982,0.738072,0.592593,1.000000,0.153846,0.478022,0.00009990
2,5,0.630641,0.723496,0.592593,0.857143,0.307692,0.478022,0.00009983
2,6,0.657136,0.770912,0.592593,1.000000,0.153846,0.478022,0.00009973
2,7,0.647451,0.783936,0.666667,1.000000,0.307692,0.505495,0.00009961
2,8,0.613356,0.785225,0.518519,1.000000,0.000000,0.516484,0.00009947
2,9,0.598713,0.883711,0.592593,0.857143,0.307692,0.516484,0.00009931
2,10,0.609071,1.117338,0.592593,0.857143,0.307692,0.543956,0.00009912
2,11,0.608514,1.415914,0.592593,0.857143,0.307692,0.521978,0.00009892
2,12,0.618571,1.371794,0.592593,0.857143,0.307692,0.543956,0.00009869
2,13,0.624929,1.013797,0.592593,1.000000,0.153846,0.576923,0.00009844
2,14,0.596430,0.773681,0.592593,0.857143,0.307692,0.582418,0.00009818
2,15,0.552071,0.890389,0.592593,0.857143,0.307692,0.604396,0.00009789
2,16,0.575273,1.533509,0.592593,0.857143,0.307692,0.598901,0.00009758
2,17,0.597040,0.916837,0.592593,1.000000,0.153846,0.653846,0.00009725
2,18,0.562247,0.797357,0.518519,0.857143,0.153846,0.620879,0.00009690
2,19,0.573818,0.898676,0.592593,0.857143,0.307692,0.626374,0.00009652
2,20,0.515429,0.990288,0.592593,0.857143,0.307692,0.620879,0.00009613
2,21,0.541942,0.873838,0.666667,1.000000,0.307692,0.637363,0.00009572
2,22,0.539973,0.776143,0.592593,0.857143,0.307692,0.626374,0.00009529
2,23,0.509846,0.912324,0.592593,0.857143,0.307692,0.615385,0.00009484
2,24,0.544545,1.063999,0.592593,0.857143,0.307692,0.615385,0.00009437
2,25,0.484712,0.929387,0.592593,1.000000,0.153846,0.637363,0.00009388
2,26,0.532825,0.937553,0.518519,0.857143,0.153846,0.631868,0.00009337
2,27,0.489752,1.093883,0.518519,0.857143,0.153846,0.456044,0.00009284
2,28,0.489720,0.832521,0.518519,0.857143,0.153846,0.587912,0.00009229
2,29,0.549516,0.889271,0.518519,0.857143,0.153846,0.582418,0.00009173
2,30,0.539105,0.970981,0.481481,0.857143,0.076923,0.604396,0.00009115
2,31,0.508352,0.805183,0.666667,0.857143,0.461538,0.626374,0.00009055
2,32,0.499640,0.877431,0.592593,0.857143,0.307692,0.604396,0.00008993
2,33,0.515346,1.084689,0.444444,0.857143,0.000000,0.637363,0.00008929
2,34,0.498970,0.945953,0.518519,0.857143,0.153846,0.604396,0.00008864
2,35,0.496290,0.842997,0.666667,0.857143,0.461538,0.626374,0.00008797
2,36,0.477832,0.832450,0.666667,0.857143,0.461538,0.604396,0.00008729
2,37,0.528624,1.003984,0.592593,0.714286,0.461538,0.604396,0.00008658
2,38,0.484188,1.178321,0.518519,0.714286,0.307692,0.582418,0.00008587
2,39,0.551845,1.535033,0.592593,0.857143,0.307692,0.582418,0.00008513
2,40,0.582430,1.376816,0.592593,0.857143,0.307692,0.582418,0.00008439
2,41,0.532217,1.022362,0.592593,0.857143,0.307692,0.626374,0.00008362
2,42,0.526076,0.934122,0.666667,0.857143,0.461538,0.626374,0.00008284
2,43,0.543495,0.972804,0.592593,0.857143,0.307692,0.648352,0.00008205
2,44,0.503390,0.931266,0.666667,0.857143,0.461538,0.626374,0.00008125
2,45,0.509824,1.025732,0.592593,0.857143,0.307692,0.604396,0.00008043
2,46,0.534046,0.977250,0.666667,0.857143,0.461538,0.626374,0.00007960
2,47,0.502041,0.980045,0.666667,0.857143,0.461538,0.626374,0.00007875
2,48,0.504211,1.106575,0.592593,0.857143,0.307692,0.626374,0.00007789
2,49,0.545849,1.022403,0.666667,0.857143,0.461538,0.626374,0.00007702
2,50,0.504893,0.973644,0.666667,0.857143,0.461538,0.626374,0.00007614
2,51,0.523512,0.944975,0.666667,0.857143,0.461538,0.626374,0.00007525
2,52,0.484896,0.923263,0.666667,0.857143,0.461538,0.626374,0.00007435
