fold,epoch,train_loss,val_loss,val_accuracy,val_sensitivity,val_specificity,val_auc,lr
5,1,0.213126,0.465463,0.706250,0.390244,0.815126,0.570096,0.00029988
5,2,0.198258,0.262030,0.743750,0.000000,1.000000,0.536688,0.00029954
5,3,0.209025,0.233928,0.743750,0.000000,1.000000,0.591822,0.00029896
5,4,0.179479,0.200723,0.743750,0.000000,1.000000,0.611088,0.00029816
5,5,0.195255,0.203288,0.743750,0.000000,1.000000,0.592847,0.00029713
5,6,0.204574,0.167327,0.743750,0.000000,1.000000,0.593052,0.00029587
5,7,0.180521,0.343791,0.693750,0.390244,0.798319,0.590182,0.00029439
5,8,0.198834,0.212084,0.693750,0.390244,0.798319,0.569891,0.00029268
5,9,0.189850,0.271088,0.693750,0.390244,0.798319,0.602480,0.00029076
5,10,0.181735,0.211050,0.743750,0.000000,1.000000,0.579729,0.00028862
5,11,0.192027,0.166999,0.687500,0.390244,0.789916,0.646137,0.00028627
5,12,0.172886,0.244639,0.743750,0.000000,1.000000,0.604940,0.00028371
5,13,0.183421,0.218878,0.693750,0.390244,0.798319,0.632814,0.00028094
5,14,0.172265,0.215723,0.693750,0.390244,0.798319,0.566202,0.00027797
5,15,0.171327,0.190266,0.743750,0.000000,1.000000,0.657614,0.00027480
5,16,0.180111,0.181855,0.743750,0.000000,1.000000,0.633019,0.00027145
5,17,0.175301,0.234456,0.706250,0.390244,0.815126,0.573786,0.00026790
5,18,0.188723,0.196469,0.743750,0.000000,1.000000,0.614573,0.00026418
5,19,0.166295,0.186222,0.693750,0.390244,0.798319,0.654540,0.00026028
5,20,0.191744,0.285040,0.693750,0.390244,0.798319,0.585878,0.00025621
5,21,0.175178,0.180513,0.693750,0.390244,0.798319,0.619492,0.00025198
5,22,0.164901,0.201247,0.743750,0.000000,1.000000,0.573171,0.00024759
5,23,0.173004,0.229580,0.743750,0.000000,1.000000,0.590387,0.00024305
5,24,0.186161,0.248801,0.693750,0.414634,0.789916,0.668477,0.00023837
5,25,0.172665,0.174674,0.743750,0.000000,1.000000,0.659049,0.00023356
5,26,0.185230,0.191939,0.743750,0.000000,1.000000,0.699631,0.00022861
5,27,0.186935,0.195874,0.693750,0.390244,0.798319,0.691228,0.00022355
5,28,0.167537,0.224123,0.693750,0.390244,0.798319,0.690203,0.00021837
5,29,0.166798,0.183154,0.693750,0.390244,0.798319,0.661304,0.00021309
5,30,0.174685,0.178085,0.693750,0.390244,0.798319,0.650236,0.00020771
5,31,0.170676,0.209829,0.693750,0.390244,0.798319,0.693687,0.00020224
5,32,0.160217,0.188967,0.743750,0.000000,1.000000,0.630765,0.00019670
5,33,0.163993,0.171180,0.693750,0.390244,0.798319,0.703730,0.00019108
5,34,0.167405,0.171745,0.693750,0.390244,0.798319,0.642037,0.00018540
5,35,0.167608,0.215617,0.693750,0.341463,0.815126,0.645727,0.00017967
5,36,0.168901,0.263576,0.693750,0.390244,0.798319,0.639578,0.00017389
5,37,0.164443,0.202833,0.693750,0.390244,0.798319,0.641422,0.00016807
5,38,0.175269,0.218827,0.693750,0.390244,0.798319,0.647571,0.00016223
5,39,0.162233,0.213625,0.693750,0.390244,0.798319,0.681595,0.00015637
5,40,0.164838,0.176203,0.693750,0.390244,0.798319,0.690818,0.00015050
5,41,0.164244,0.188313,0.693750,0.390244,0.798319,0.663148,0.00014463
5,42,0.162501,0.178924,0.693750,0.390244,0.798319,0.645932,0.00013877
5,43,0.159359,0.171893,0.693750,0.390244,0.798319,0.668067,0.00013293
5,44,0.166123,0.178201,0.693750,0.390244,0.798319,0.663558,0.00012711
5,45,0.171225,0.220029,0.706250,0.390244,0.815126,0.650646,0.00012133
5,46,0.169535,0.192148,0.693750,0.390244,0.798319,0.683234,0.00011560
5,47,0.169049,0.183931,0.693750,0.390244,0.798319,0.692457,0.00010992
5,48,0.170298,0.182080,0.693750,0.390244,0.798319,0.698401,0.00010430
5,49,0.160663,0.169241,0.693750,0.390244,0.798319,0.688153,0.00009876
5,50,0.172592,0.184961,0.693750,0.390244,0.798319,0.672371,0.00009329
5,51,0.156473,0.183091,0.693750,0.390244,0.798319,0.683439,0.00008791
5,52,0.169011,0.201140,0.693750,0.390244,0.798319,0.692048,0.00008263
5,53,0.160262,0.198476,0.693750,0.390244,0.798319,0.682414,0.00007745
5,54,0.164399,0.185040,0.693750,0.390244,0.798319,0.681185,0.00007239
5,55,0.162797,0.207867,0.693750,0.390244,0.798319,0.648801,0.00006744
5,56,0.167569,0.259662,0.693750,0.390244,0.798319,0.651875,0.00006263
5,57,0.158025,0.193966,0.693750,0.390244,0.798319,0.685694,0.00005795
5,58,0.173027,0.213394,0.693750,0.390244,0.798319,0.685489,0.00005341
