fold,metric,value,std
mean,accuracy,0.7528183229813664,0.045127730747124194
mean,sensitivity,0.3370731707317073,0.32579194683637963
mean,specificity,0.8933333333333333,0.10110500592068732
mean,auc,0.6983752305800369,0.11534358227772945
